id,latitude,longitude
70,35.7471469,-78.7423332
70,35.747271,-78.742472
70,35.840349,-78.67887
70,35.840481,-78.679061
70,35.827282,-78.77114
70,35.907897,-78.7265776
70,35.840481,-78.679061
70,35.7786575,-78.6403056
70,35.7786281,-78.6405269
70,35.7857626,-78.6468162
70,35.7847187,-78.647585
70,35.7847187,-78.647585
70,35.774212,-78.761266
70,35.2003245,-80.8246108
70,35.827678,-78.772267
70,35.8710872,-78.7158976
70,35.8710872,-78.7158976
70,35.8710872,-78.7158976
70,35.7759584,-78.6450221
70,35.7825987,-78.6456981
70,35.7896484,-78.6604108
70,35.7896484,-78.6604108
70,35.789857,-78.65971
70,35.789857,-78.65971
70,35.2123711,-80.8171636
70,35.7905882,-78.6625573
70,35.7905882,-78.6625573
70,35.83674,-78.638572
70,35.84946,-78.61569
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.8248417,-78.7073844
70,35.902639,-78.657604
70,35.831287,-78.770205
70,35.831287,-78.770205
70,35.831287,-78.770205
70,35.831287,-78.770205
70,35.831287,-78.770205
70,35.827282,-78.77114
70,35.7891819,-78.661475
70,35.7902499,-78.8281285
70,35.9099965,-79.0639366
70,35.791402,-78.66071
70,35.7775644,-78.6751994
70,35.7909109,-78.6600654
70,35.780057,-78.644773
70,35.780057,-78.644773
70,35.7883498,-78.6474466
70,35.807627,-78.81438
70,35.807627,-78.81438
70,35.712864,-78.812015
70,35.712864,-78.812015
70,35.712864,-78.812015
70,35.712864,-78.812015
342,35.844222,-78.8886808
342,35.7444895,-78.8216467
342,35.8473975,-78.8897894
342,35.799894,-78.816154
342,35.844222,-78.8886808
342,35.8192413,-78.9019038
342,35.8218324,-78.8469243
342,35.844222,-78.8886808
342,35.8192413,-78.9019038
342,35.8076261,-78.8195442
342,35.80804,-78.819561
342,35.799894,-78.816154
342,35.844222,-78.8886808
342,35.8473975,-78.8897894
342,35.8473975,-78.8897894
342,35.8192413,-78.9019038
342,35.844222,-78.8886808
